title,brand,mpn,upc,product_type,primary_category,smart_home_ecosystem,brand_tier,condition,condition_score,price,wasPrice,discount_pct,savings_usd,has_discount,price_tier,log_price,price_per_channel,sold,available,mpn-alt,upc-alt,condition_score-alt,has_solar_power,is_battery_powered,is_wired,has_wifi,has_poe,has_cellular_4g5g,has_pan_tilt_zoom,has_motion_detect,has_ai_detection,has_two_way_audio,has_voice_control,has_floodlight,has_local_storage,has_cloud_storage,is_doorbell_camera,is_outdoor,is_indoor,is_nvr_dvr_system,is_complete_system,is_refurb_product,channel_count,pack_quantity,tech_richness_score,commercial_value_score,seller,seller_city,seller_state,seller_country,ships_to_count,excluded_country_count,global_reach_score,is_us_only_shipping,days_since_update,listing_freshness_score,estimated_revenue
NEW SimpliSafe Entry ES3 Door Sensor White Magnetic Home Security (Latest),Simplisafe,,,Door Sensor,Sensors & Motion Detectors,Other/Generic,Other Brand,New,5,$7.95,,$0.00,$0.00,0,Budget (<$25),2.191654,,"$1,155.00",$10.00,,,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,67.86,Seller_100,Voorhees,NJ,United States,168,11,0.9385,0,22,94,"$9,182.25"
Amcrest NV2116-HS 4K 16CH NVR 6TB 1080p/3MP/4MP/5MP/8MP) - NIB,Amcrest,,,NVR,Surveillance Dvrs & Nvrs,Amcrest,Prosumer,New,5,$129.50,,$0.00,$0.00,0,Mid-Range ($75–$200),4.871373,$8.09,,,,,254,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,16,1,1,0,Seller_101,Simpsonville,SC,United States,168,11,0.9385,0,,,$0.00
"GeoVision GV-VS04H, 4 Channel H.264 Video Server, PoE / 12V DC, GPS, GV-GIS",Geovision,,,Video Server,Surveillance Dvrs & Nvrs,Other/Generic,Other Brand,Used,2,$199.99,,$0.00,$0.00,0,Mid-Range ($75–$200),5.303255,$50.00,$3.00,$2.00,,,397.98,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,24,Seller_102,Raleigh,NC,United States,162,20,0.8901,0,619,0,$599.97
Verint Edge VR 80 Black NVR Surveillance Recorder with Cables and Accessories,Verint,,,NVR,Surveillance Dvrs & Nvrs,Other/Generic,Other Brand,Open Box,4,$300.00,,$0.00,$0.00,0,Premium ($200–$500),5.70711,,,,,,596,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,1,1,28.53,Seller_103,Phoenix,AZ,United States,168,11,0.9385,0,18,95.1,$0.00
"Verint EdgeVR 80 DVR Wired Black, Includes DVR Unit, Cables, Accessories",Verint,,,DVR,Surveillance Dvrs & Nvrs,Other/Generic,Other Brand,Open Box,4,$200.00,,$0.00,$0.00,0,Premium ($200–$500),5.303305,,,,,,396,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,1,1,28.59,Seller_103,,,,0,0,,0,17,95.3,$0.00
Mini DVR 5.8G-FPV Video Recorder Module CVBS Signal Input Support 32GB TF Card,Unknown,,,Video Recorder,Surveillance Dvrs & Nvrs,Other/Generic,Generic/Unknown,New,5,$29.98,,$0.00,$0.00,0,Value ($25–$75),3.433342,,$117.00,$10.00,,,54.96,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,1,1,66.7,Seller_104,China,China,United States,1,226,0.0044,1,2,99.5,"$3,507.66"
Ring Pro Power Kit V3 (2 units)- New & Unused – $8 per 2 units – 100+ Available,Ring,,,Power Kit,Security Cameras,Ring (Amazon),Premium Consumer,New,5,$7.95,,$0.00,$0.00,0,Budget (<$25),2.191654,,$543.00,$10.00,,,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,0,68.8,Seller_105,Southampton,PA,United States,168,11,0.9385,0,6,98.4,"$4,316.85"
Ring Pro Power Kit V2 (2 units) – New & Unused – $8 per 2 units – 100+ Available,Ring,,,Power Kit,Security Cameras,Ring (Amazon),Premium Consumer,New,5,$7.95,,$0.00,$0.00,0,Budget (<$25),2.191654,,$367.00,$10.00,,,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,0,68.46,Seller_105,Southampton,PA,United States,168,11,0.9385,0,6,98.4,"$2,917.65"
Blink Outdoor (3rd Gen) Add-On Home Security Camera | HD Video work with XT1 XT2,Blink,B086DKMSSM,840080527864,Camera,Uncategorized,Blink (Amazon),Premium Consumer,Open Box,4,$44.99,,$0.00,$0.00,0,Value ($25–$75),3.828424,,$577.00,$10.00,B086DKMSSM,840080527865,85.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,0,67.85,Seller_106,Branford,Connecticut,United States,45,168,0.2113,0,18,95.1,"$25,959.23"
Blink Sync Module 2 for existing Blink Outdoor (3rd Gen) Home Security Systems,Blink,,,Camera,Security Cameras,Blink (Amazon),Premium Consumer,Open Box,4,$31.99,,$0.00,$0.00,0,Value ($25–$75),3.496204,,$771.00,$2.00,,,59.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,1,0,67.59,Seller_106,Branford,Connecticut,United States,48,164,0.2264,0,28,92.3,"$24,664.29"
Blink Outdoor  (4th Gen) Wireless smart HD security camera | Black Add-on camera,Smartsecurity,Blink Outdoor Indoor Camera,,Camera,Security Cameras,Blink (Amazon),Other Brand,Open Box,4,$39.99,,$0.00,$0.00,0,Value ($25–$75),3.713328,,$354.00,$4.00,Blink Outdoor Indoor Camera,,75.98,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,1,66.58,Seller_106,Branford,Connecticut,United States,3,216,0.0137,0,36,90.1,"$14,156.46"
Blink Outdoor (4th Gen) Add-On Home Security Camera | HD Video work with XT1 XT2,Smartsecurity,Blink Outdoor Indoor Camera,,Camera,Security Cameras,Blink (Amazon),Other Brand,Open Box,4,$36.99,,$0.00,$0.00,0,Value ($25–$75),3.637323,,$56.00,$10.00,Blink Outdoor Indoor Camera,,69.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,0,58.18,Seller_106,Branford,Connecticut,United States,3,216,0.0137,0,70,80.8,"$2,071.44"
Solar Battery Powered Wireless WiFi Home Security Camera System Outdoor Pan/Tilt,Unknown,,,Camera,Security Cameras,Other/Generic,Generic/Unknown,New,5,$49.99,,$0.00,$0.00,0,Value ($25–$75),3.93163,,$34.00,$10.00,,,94.98,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,,1,3,60.76,Seller_107,Hayward,California,United States,1,53,0.0185,1,2,99.5,"$1,699.66"
Ring Floodlight Cam Wired Plus **BRAND NEW** 1080p HD White,Ring,,,Camera,Security Cameras,Ring (Amazon),Premium Consumer,New,5,$114.99,,$0.00,$0.00,0,Mid-Range ($75–$200),4.753504,,$16.00,$3.00,,,224.98,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,0,63.44,Seller_108,Fort Worth,TX,United States,162,20,0.8901,0,3,99.2,"$1,839.84"
LTS 8 Sony Cameras + 8 Channel 500GB DVR with Hi-Res VGA  security system GS,Sony,,,Security System,Surveillance Dvrs & Nvrs,Other/Generic,Other Brand,Open Box,4,$169.99,,$0.00,$0.00,0,Mid-Range ($75–$200),5.141605,$21.25,,,,,335.98,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,8,1,1,29.43,Seller_109,Beverly Hills,FL,United States,167,11,0.9382,0,7,98.1,$0.00
eufy 4G LTE Cam S330 4K Cellular Wireless Security Camera Solar Powered+SIM Card,Eufy,AKT86P2121,194644178307,Camera,Security Cameras,Eufy (Anker),Premium Consumer,New,5,$199.99,,$0.00,$0.00,0,Mid-Range ($75–$200),5.303255,,$554.00,$10.00,AKT86P2122,194644178308,394.98,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,2,66.83,Seller_11,Ontario,CA,United States,147,38,0.7946,0,30,91.8,"$110,794.46"
eufy Security SoloCam S340 Solar Wireless Outdoor Camera 4-Cam Kit 360° Pan WiFI,Eufy,AKT8170,194644246754,Camera,Security Cameras,Eufy (Anker),Premium Consumer,New,5,$899.99,,$0.00,$0.00,0,High-End ($500–$1.5K),6.803494,,$24.00,$10.00,AKT8171,194644246755,1794.98,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,,1,3,55.78,Seller_11,Ontario,CA,United States,161,20,0.8895,0,30,91.8,"$21,599.76"
eufy eufyCam C35 4Cam Kit Wireless Indoor/Outdoor Security Camera Magnetic Mount,Eufy,AKT8110,194644245672,Camera,Security Cameras,Eufy (Anker),Premium Consumer,New,5,$199.96,$349.99,$42.87,$150.03,1,Mid-Range ($75–$200),5.303106,,$18.00,$10.00,AKT8111,194644245673,77.11733333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,,1,1,68.16,Seller_11,Ontario,CA,United States,143,44,0.7647,0,5,98.6,"$3,599.28"
eufy SoloCam E42 4K Security Wireless Outdoor Solar Powered AI Motion Tracking,Eufy,AKT8173,194644243746,Camera,Security Cameras,Eufy (Anker),Premium Consumer,New,5,$129.99,$179.99,$27.78,$50.00,1,Mid-Range ($75–$200),4.875121,,$95.00,$10.00,AKT8174,194644243747,24.40866667,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,2,74.38,Seller_11,Ontario,CA,United States,147,39,0.7903,0,2,99.5,"$12,349.05"
"eufy PoE Turret Security Camera E41, NVR Add On Cam, 4K UHD, Color Night Vision",Eufy,AKT8P10,194644239725,Camera,Security Cameras,Eufy (Anker),Premium Consumer,New,5,$129.99,,$0.00,$0.00,0,Mid-Range ($75–$200),4.875121,,$21.00,$10.00,AKT8P11,194644239726,254.98,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,1,3,52.84,Seller_11,Ontario,CA,United States,147,39,0.7903,0,52,85.8,"$2,729.79"
eufy Security eufyCam S3 Pro 6-Cam Kit Solar Camera Outdoor Wireless 4K MaxColor,Eufy,,194644259600,Camera,Security Cameras,Eufy (Anker),Premium Consumer,New,5,$919.99,"$1,199.99",$23.33,$280.00,1,High-End ($500–$1.5K),6.825449,,$16.00,$10.00,,194644259601,93.222,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,1,2,61.19,Seller_11,Ontario,CA,United States,146,39,0.7892,0,5,98.6,"$14,719.84"
eufy eufyCam S4 Solar Security Camera Wireless Outdoor 4K UHD Color Night Vision,Eufy,AKT8172,194644245757,Camera,Security Cameras,Eufy (Anker),Premium Consumer,New,5,$349.99,,$0.00,$0.00,0,Premium ($200–$500),5.860758,,$145.00,$10.00,AKT8173,194644245758,694.98,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,4,63.16,Seller_11,Ontario,CA,United States,147,39,0.7903,0,52,85.8,"$50,748.55"
eufy Outdoor Floodlight Security Camera E340 with20ft AC Cable 360° PTZ Dual Cam,Eufy,AKT8425,194644211127,Camera,Uncategorized,Eufy (Anker),Premium Consumer,New,5,$239.99,,$0.00,$0.00,0,Premium ($200–$500),5.484755,,$13.00,$10.00,AKT8426,194644211128,474.98,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,,1,1,52.46,Seller_11,Ontario,CA,United States,147,39,0.7903,0,2,99.5,"$3,119.87"
eufy SoloCam S340 Solar Wireless Security Camera Outdoor Dual Cam 360° Guardian,Eufy,AKT8170,194644137380,Camera,Security Cameras,Eufy (Anker),Premium Consumer,New,5,$199.99,,$0.00,$0.00,0,Mid-Range ($75–$200),5.303255,,"$1,624.00",$10.00,AKT8171,194644137381,394.98,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,3,67.63,Seller_11,Ontario,CA,United States,147,38,0.7946,0,26,92.9,"$324,783.76"
eufy Security Smart Wireless System w/Alexa 1080P Battery Camera eufyCam 2C Kit,Eufy,AKT88301D1,,Complete System,IP/Smart Camera Systems,Eufy (Anker),Premium Consumer,New,5,$149.99,,$0.00,$0.00,0,Mid-Range ($75–$200),5.017214,,$185.00,$10.00,AKT88301D2,,294.98,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,1,2,67.8,Seller_11,Ontario,CA,United States,147,39,0.7903,0,2,99.5,"$27,748.15"
eufy S380 HomeBase 3 Edge Security Center Local Expandable Storage up to 16TB,Eufy,AKT8030,194644107369,Edge Security Center,IP/Smart Camera Systems,Eufy (Anker),Premium Consumer,New,5,$149.99,,$0.00,$0.00,0,Mid-Range ($75–$200),5.017214,,$852.00,$10.00,AKT8031,194644107370,294.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,67.08,Seller_11,Ontario,CA,United States,147,39,0.7903,0,30,91.8,"$127,791.48"
eufy Indoor Cam E30 Pet/Baby Camera 4K UHD Security Camera 360 Pan-Tilt 2-Cam,Eufy,AKT8417,194644236144,Indoor Cam,Security Cameras,Eufy (Anker),Premium Consumer,New,5,$109.99,$129.99,$15.39,$20.00,1,Mid-Range ($75–$200),4.70944,,$22.00,$10.00,AKT8418,194644236145,6.438,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,1,61.7,Seller_11,Ontario,CA,United States,162,20,0.8901,0,5,98.6,"$2,419.78"
eufy Security Water and Freeze Sensor with Remote Alerts Waterproof App Control,Eufy,AKT8920,194644123307,Water And Freeze Sensor,Sensors & Motion Detectors,Eufy (Anker),Premium Consumer,New,5,$34.99,,$0.00,$0.00,0,Value ($25–$75),3.583241,,$449.00,$10.00,AKT8921,194644123308,64.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,0,66.67,Seller_11,Ontario,CA,United States,147,38,0.7946,0,30,91.8,"$15,710.51"
eufy PoE NVR Security System S4 Max 8CH 16MP Triple Lens Camera 360°PTZ+2TB HDD,Eufy,AKT8E00,194644239749,Complete System,IP/Smart Camera Systems,Eufy (Anker),Premium Consumer,New,5,"$1,499.99",,$0.00,$0.00,0,High-End ($500–$1.5K),7.31388,$187.50,$36.00,$10.00,AKT8E01,194644239750,2994.98,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,8,1,2,61.15,Seller_11,Ontario,California,United States,33,23,0.5893,0,2,99.5,"$53,999.64"
eufy Security eufyCam C35 Wireless Outdoor and Indoor Magnetic Mount NightVision,Eufy,AKT8110,194644245658,Camera,Security Cameras,Eufy (Anker),Premium Consumer,New,5,$59.98,$89.99,$33.35,$30.01,1,Value ($25–$75),4.110546,,$33.00,$10.00,AKT8111,194644245659,19.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,1,2,70.28,Seller_11,,,,0,0,,0,5,98.6,"$1,979.34"
10Pcs BNC Male to RCA Female Coax Coaxial Connector Adapter for CCTV camera,Rca,,,Cable/Accessory,Accessories,Other/Generic,Other Brand,New,5,$8.90,,$0.00,$0.00,0,Budget (<$25),2.292535,,"$2,356.00",$10.00,,,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,0,60.05,Seller_110,Miami,FL,United States,168,11,0.9385,0,119,67.4,"$20,968.40"
Q-See 16 ch DVR 16 Channel SIMILAR MODEL QTH916 (NO Q-SEE LOGO) NO HARD DISK,Tvt  Manufacture,"Does Not Apply, NO APPLY",,Hybrid Dvr,IP/Smart Camera Systems,Other/Generic,Other Brand,New,5,$293.30,,$0.00,$0.00,0,Premium ($200–$500),5.6846,$18.33,$221.00,$1.00,"Does Not Apply, NO APPLY",,581.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,16,1,1,69.4,Seller_110,Miami,FL,United States,168,11,0.9385,0,5,98.6,"$64,819.30"
8CH DVR XVR5108HS-I3,Unknown,,,8Ch Dvr,Surveillance Dvrs & Nvrs,Other/Generic,Generic/Unknown,New,5,$140.00,,$0.00,$0.00,0,Mid-Range ($75–$200),4.94876,$17.50,$1.00,$4.00,,,275,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8,1,1,8,Seller_110,Miami,Florida,United States,168,11,0.9385,0,,,$140.00
Voltky 2K WiFi Solar Security Camera Dual Lens AI PIR 10X Zoom Night Vision IP66,Voltky,,,Ptz,Security Cameras,Other/Generic,Other Brand,New,5,$59.99,,$0.00,$0.00,0,Value ($25–$75),4.11071,,$9.00,$10.00,,,114.98,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,3,18.95,Seller_111,Plainview,New York,United States,208,13,0.9412,0,,,$539.91
BNC Male to Dual BNC Female Connector Adapter T Shape Splitter Coaxial Cable Lot,Electro-Store4U,,,Cable/Accessory,Accessories,Other/Generic,Other Brand,New,5,$6.75,,$0.00,$0.00,0,Budget (<$25),2.047693,,$18.00,$10.00,,,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,41.26,Seller_112,Deer Park,New York,United States,168,11,0.9385,0,176,51.8,$121.50
BNC Male to RG59 RG6 Twist On Connector CCTV Security Coax Cable Camera Lot,Electro-Store4U,,,Bnc Connector,Accessories,Other/Generic,Other Brand,New,5,$6.75,,$0.00,$0.00,0,Budget (<$25),2.047693,,$41.00,$10.00,,,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,46.86,Seller_112,Deer Park,NY,United States,168,11,0.9385,0,186,49,$276.75
BNC Female to RCA Male Connector Coax Cable Adapter Converter CCTV Camera Lot,Electro-Store4U,,,Cable/Accessory,Accessories,Other/Generic,Other Brand,New,5,$6.75,,$0.00,$0.00,0,Budget (<$25),2.047693,,$34.00,$10.00,,,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,46.27,Seller_112,Deer Park,NY,United States,168,11,0.9385,0,178,51.2,$229.50
RCA Female to BNC Male Connector Coax Plug Adapter Converter CCTV Camera Lot,Electro-Store4U,,,Cable/Accessory,Accessories,Other/Generic,Other Brand,New,5,$6.75,,$0.00,$0.00,0,Budget (<$25),2.047693,,$78.00,$10.00,,,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,35.46,Seller_112,Deer Park,NY,United States,168,11,0.9385,0,,,$526.50
RG59 Siamese Cable 250ft 500ft 1000ft Coaxial 20AWG + 18/2 Security Camera Wire,Electro-Store4U,,,Rg-59/U Cable,Accessories,Other/Generic,Other Brand,New,5,$43.99,,$0.00,$0.00,0,Value ($25–$75),3.80644,,$51.00,$10.00,,,82.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,47.99,Seller_112,Deer Park,NY,United States,161,20,0.8895,0,188,48.5,"$2,243.49"
GMOX 4G LTE Cellular Solar Security Camera Outdoor No WiFi Non-Stop Power 365Day,Gmox,,768231568910,Details In Description,Security Cameras,Other/Generic,Other Brand,New,5,$24.99,$49.98,$50.00,$24.99,1,Budget (<$25),3.257712,,$44.00,$10.00,,768231568911,23.99533333,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,2,76.27,Seller_113,Hayward,California,United States,1,27,0.0357,1,16,95.6,"$1,099.56"
Dome Wireless Z-Wave Plus Siren ( DMS01 ) Works With Ring. SEALED FREE SHIPPING,Elexa,DMS01,,Panic Alarm Siren,Security Cameras,Ring (Amazon),Other Brand,New,5,$19.95,,$0.00,$0.00,0,Budget (<$25),3.042139,,$24.00,$10.00,DMS02,,34.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,57.76,Seller_114,Lakeland,FL,United States,162,20,0.8901,0,6,98.4,$478.80
Arlo VMS5240-100NAS Ultra - 4K UHD Wire-Free Security 2 Camera,Arlo,"VMS5240, VMS5240-100NAS",753575864149,Wire-Free Security System,Uncategorized,Arlo,Premium Consumer,Open Box,4,$215.00,,$0.00,$0.00,0,Premium ($200–$500),5.375278,,$1.00,$2.00,"VMS5240, VMS5240-100NAS",753575864150,426,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,42.91,Seller_115,Fort Lauderdale,FL,United States,162,60,0.7297,0,5,98.6,$215.00
500m Wireless Driveway Alarms System Long Range Outdoor Motion Sensor Detectors,Wuloo,,,Driveway Alarm Alert Wireless System,Sensors & Motion Detectors,Other/Generic,Other Brand,New,5,$39.99,,$0.00,$0.00,0,Value ($25–$75),3.713328,,$31.00,$3.00,,,74.98,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,1,1,64.58,Seller_116,Hebron,Kentucky,United States,168,53,0.7602,0,23,93.7,"$1,239.69"
